,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
213,DEN,3.813559322033898,4.271920840817361,Darrell Antwonne Arthur,3.4309823079040096,3.089857857686519,4.663967611336033,4.474556640892392
214,BKN,0.8421052631578947,2.68452010598654,Tornike Shengelia,0.47105263157894733,1.8982423711747116,0.8421052631578947,2.68452010598654
215,OKC,23.029629629629632,5.313166604671703,Kevin Wayne Durant,20.081050489060807,4.433230830999267,19.209110629067265,8.043151212155633
216,WAS,4.7898734177215205,4.876956794858207,Kevin Seraphin,2.887328156944706,3.471816192698617,4.329896907216495,4.943498593090459
217,DAL,2.891304347826087,3.739961990446039,Bernard Ronald James,1.474223602484472,2.6445524848243323,2.891304347826087,3.739961990446039
218,IND,,,Solomon Hill,,,,
219,GSW,9.842682926829266,7.012828497376143,Klay Alexander Thompson,10.997614629634802,4.8918270103177575,8.796621621621624,6.827086509498846
220,NOP,,,Jeff Withey,,,,
221,ATL,9.96923076923077,5.943414966125626,Louis Williams,8.37038534987545,4.317852894644056,9.54441687344914,6.283499786990908
222,CHA,5.673333333333335,6.056783157933112,Benjamin Gordon,5.47129769930392,4.753195378890754,8.9524705882353,7.6691129797515565
223,DET,13.233333333333329,6.417722375876597,Gregory Keith Monroe Jr.,11.91463348225708,4.649960620808896,11.982378854625559,6.746677927952219
224,MIN,13.550000000000002,8.42695740532199,Kevin Wesley Love,17.44053391685065,6.009179816791443,14.822996515679451,8.571411078988412
225,TOR,3.172727272727273,3.8876706999274493,Austin Darren Daye,1.522051436821248,2.9394235267206903,3.6869198312236273,4.491308743077064
226,HOU,4.690566037735848,5.480058674487683,Aaron Jamal Brooks,5.928926296753642,4.323401880507447,7.389538461538465,7.035887004552333
227,SAC,,,Hamady Barro N'Diaye,,,0.37894736842105264,1.0440704490086263
228,PHI,,,Hollis Thompson,,,,
229,SAS,9.698765432098769,4.980244771295376,Tiago Splitter,7.811319341897191,3.682204809847783,7.417999999999998,5.468827662305698
230,LAC,,,Reginald Ryedell Bullock,,,,
231,CHA,2.808064516129033,4.25635382302804,Anthony Lamar Tolliver,3.071324061909396,3.440792433559266,4.840329218106994,5.845248773572325
232,MEM,6.937974683544303,4.305701365924447,Anthony Allen,7.852292088857916,3.4330987832402293,6.210677083333331,5.688334696982197
233,ORL,7.938181818181819,8.007394103613143,Tobias John Harris,3.399960009735936,5.306763685017675,5.984536082474227,7.086495654487428
234,PHO,,,Archie Lee Goodwin,,,,
235,DET,0.8833333333333333,2.7497979723770416,Josh Douglas Harrellson,3.3218306233014823,2.281580099233334,3.527906976744187,4.08760608745882
236,ATL,8.822972972972975,5.595523000392206,Kyle Elliot Korver,8.119667939864923,3.9247880196043017,6.485446009389673,5.506524036150215
237,WAS,,,Glen Rice ,,,,
238,GSW,,,Dewayne Dedmon,,,,
239,OKC,4.098717948717952,4.409880909774751,Kendrick Le'Dale Perkins,3.8357222548296077,3.2940102062939927,6.244554455445541,4.954385501006067
240,PHI,,,Brandon Davies,,,,
241,DAL,,,Ricky Ledo,,,,
242,IND,5.226250000000002,4.949336918972077,Charles Akeem Watson Jr.,5.511845258355518,3.848876861100889,5.930129870129869,6.122046702475374
243,UTA,2.257142857142857,2.9926014210559555,Richard Allen Jefferson,6.431097890461081,2.75657530193105,9.240449438202253,7.081673120105713
244,MIL,10.378873239436619,6.281089783728275,Larry Sanders,4.427798795518228,4.407604455137891,5.958469945355187,6.186572968180911
