,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
238,GSW,,,Dewayne Dedmon,,,,
239,OKC,54.57504417,49.52356995,Kendrick Le'Dale Perkins,66.52117037,15.88397301,70.7017963,16.76995027
240,PHI,,,Brandon Davies,,,,
241,DAL,,,Ricky Ledo,,,,
242,IND,43.26781819,27.50270896,Charles Akeem Watson Jr.,42.51174921,15.47173034,40.51218487,18.71366166
243,UTA,20.00304021,18.26376686,Richard Allen Jefferson,63.16290672,15.04715111,69.00665715,26.54921869
244,MIL,87.39085028,53.3646844,Larry Sanders,43.54872225,25.30054138,47.65829149,28.73534862
245,NOP,34.84972192,35.77024267,Gregory Stiemsma,43.23834151,18.47700888,38.82956052,21.57876462
246,OKC,76.280995,45.93946449,Thabo Patrick Sefolosha,57.36157023,18.28703147,55.55689319,19.93450022
247,SAC,69.64566991,29.14786971,DeMarcus Amir Cousins,64.69841324,9.541514979,64.43996205,10.09787096
248,CHA,56.98615689,20.94621107,Ramon Sessions,49.50397499,12.01380368,52.02252556,14.66587727
249,BRK,67.32522371,18.96472724,Kevin Maurice Garnett,65.39787014,9.442454867,72.36020798,10.88797565
250,CHI,59.52940652,27.30121754,Michael Joseph Dunleavy Jr.,62.26342979,14.87762959,64.44752127,17.74372857
251,DET,80.59529446,53.7155303,Andre Jamal Drummond,88.60077491,25.4736269,66.02122958,28.93415536
252,DEN,24.04141091,25.95120346,Evan Mehdi Fournier,22.88538727,10.97848534,22.69140984,12.1160702
253,GSW,,,Nemanja Nedovic,,,,
254,MEM,72.03155342,22.7954274,Michael Alex Conley Jr.,67.61415234,12.35691028,62.63199262,14.70486775
255,LAC,55.00603963,35.47778962,Byron James Mullens,25.99219864,20.78581509,30.12563364,25.6489596
256,CHI,,,Derrick Martell Rose,,,76.01011141,10.49051903
257,GSW,,,Ognjen Kuzmic,,,,
258,ATL,,,Pero Antic,,,,
259,POR,,,Allen Crabbe,,,,
260,IND,74.44149546,43.48242569,Roy Denzil Hibbert,64.66765098,18.26202959,62.44764825,20.12277505
261,DET,71.45685629,28.74876745,Brandon Jennings,65.96932749,12.4658951,66.57550225,13.83411287
262,NOP,38.03500502,26.43694632,Austin James Rivers,34.52287135,12.60835038,39.54713956,14.34485461
263,TOR,33.7770035,32.56493579,Darryl Gerard Augustin Jr.,40.33763649,16.47882093,51.17440644,19.10552223
264,OKC,,,Steven Funaki Adams,,,,
265,MIA,56.17439205,31.78318352,Almario Vernard Chalmers,54.58723333,15.21297514,54.28474454,17.32672113
266,ORL,66.41551512,26.55655948,Ronald Glen Davis,57.22716057,15.71907987,54.5695458,19.50247328
267,ORL,19.70214869,17.05367654,Ronnie Price,20.10633594,9.980818543,21.44857737,12.3091363
268,TOR,34.24456335,28.04856501,Terrence James Elijah Ross,32.77650054,13.48002984,29.12951774,15.3716306
269,TOR,67.73870501,38.31620566,Jonas Valanciunas,67.51172688,14.08208313,68.23957045,15.14178926
270,ATL,35.62948711,33.15375024,Gustavo Alfonso Ayon,45.05314186,16.66109486,45.45298431,19.27132228
271,NOP,23.08640923,29.63990528,Louis Gabriel Amundson,27.77005242,17.69821499,32.68634704,22.06316799
272,BRK,8.746417185,15.48371792,Tyshawn Jamar Taylor,12.52084948,6.895313603,10.0011961,7.70109337
273,SAS,19.93722105,21.44229732,Aaron John Baynes,20.03335078,8.980601486,21.17003033,9.889808194
274,UTA,,,Ian Clark,,,,
275,CHI,53.87014413,35.99290346,Kirk James Hinrich,56.57690908,14.24524409,56.90467857,15.51185395
276,MIA,62.86993066,28.33972909,Walter Ray Allen,78.09029919,12.80788044,83.42838488,14.357839
277,MIL,,,Miroslav Raduljica,,,,
278,DAL,74.75130331,25.40185893,Dirk Werner Nowitzki,83.39824613,10.74146141,84.4295536,11.85337367
279,CLE,,,Carrick Felix,,,,
280,LAC,66.88514037,27.99378924,Jonathan Clay Redick,54.70380689,17.03048488,46.82653993,21.4582651
281,ATL,27.11975414,26.08779312,Shelvin Bernard Mack,23.6152078,9.686121145,22.51445078,10.43181668
282,CHI,71.17970872,28.74291128,Carlos Austin Boozer Jr.,74.94750828,13.10040149,77.9963679,14.71801062
283,CHA,48.02357113,32.42909111,Jeffery Matthew Taylor,47.14087149,8.206740376,47.29905867,8.482868836
284,MIA,79.00440868,19.61752494,Dwyane Tyrone Wade,78.85859856,8.542228988,80.30413169,9.489062885
