Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Wed, Dec 16, 2009",LAC,120,MIN,95
"Wed, Dec 16, 2009",UTA,108,BKN,92
"Wed, Dec 16, 2009",DET,87,NOH,95
"Wed, Dec 16, 2009",DAL,100,OKC,86
"Wed, Dec 16, 2009",TOR,99,ORL,118
"Wed, Dec 16, 2009",CLE,108,PHI,101
"Wed, Dec 16, 2009",WAS,109,SAC,112
"Thu, Dec 17, 2009",NYK,89,CHI,98
"Thu, Dec 17, 2009",ORL,86,MIA,104
"Thu, Dec 17, 2009",PHX,102,POR,105
"Fri, Dec 18, 2009",UTA,83,ATL,96
"Fri, Dec 18, 2009",PHI,98,BOS,97
"Fri, Dec 18, 2009",MIL,82,CLE,85
"Fri, Dec 18, 2009",HOU,116,DAL,108
"Fri, Dec 18, 2009",WAS,118,GSW,109
"Fri, Dec 18, 2009",IND,94,MEM,107
"Fri, Dec 18, 2009",SAC,96,MIN,112
"Fri, Dec 18, 2009",DEN,92,NOH,98
"Fri, Dec 18, 2009",LAC,91,NYK,95
"Fri, Dec 18, 2009",DET,98,OKC,109
"Fri, Dec 18, 2009",BKN,95,TOR,118
"Sat, Dec 19, 2009",UTA,110,CHA,102
"Sat, Dec 19, 2009",ATL,98,CHI,101
"Sat, Dec 19, 2009",OKC,90,HOU,95
"Sat, Dec 19, 2009",SAC,96,MIL,95
"Sat, Dec 19, 2009",LAL,103,BKN,84
"Sat, Dec 19, 2009",POR,83,ORL,92
"Sat, Dec 19, 2009",LAC,112,PHI,107
"Sat, Dec 19, 2009",WAS,95,PHX,121
"Sat, Dec 19, 2009",IND,99,SAS,100
"Sun, Dec 20, 2009",MIN,104,BOS,122
"Sun, Dec 20, 2009",CLE,95,DAL,102
"Sun, Dec 20, 2009",LAL,93,DET,81
"Sun, Dec 20, 2009",DEN,96,MEM,102
"Sun, Dec 20, 2009",POR,102,MIA,95
"Sun, Dec 20, 2009",CHA,94,NYK,98
"Sun, Dec 20, 2009",NOH,92,TOR,98
"Mon, Dec 21, 2009",SAC,102,CHI,98
"Mon, Dec 21, 2009",MIL,84,IND,81
"Mon, Dec 21, 2009",UTA,99,ORL,104
"Mon, Dec 21, 2009",CLE,109,PHX,91
"Mon, Dec 21, 2009",LAC,87,SAS,103
"Tue, Dec 22, 2009",IND,94,BOS,103
"Tue, Dec 22, 2009",DET,76,CHA,88
"Tue, Dec 22, 2009",POR,85,DAL,81
"Tue, Dec 22, 2009",LAC,99,HOU,108
"Tue, Dec 22, 2009",OKC,108,LAL,111
"Tue, Dec 22, 2009",GSW,108,MEM,121
"Tue, Dec 22, 2009",ATL,112,MIN,87
"Tue, Dec 22, 2009",CHI,81,NYK,88
"Tue, Dec 22, 2009",PHI,98,WAS,105
"Wed, Dec 23, 2009",ATL,104,DEN,124
"Wed, Dec 23, 2009",TOR,94,DET,64
"Wed, Dec 23, 2009",UTA,70,MIA,80
"Wed, Dec 23, 2009",WAS,109,MIL,97
"Wed, Dec 23, 2009",MIN,103,BKN,99
"Wed, Dec 23, 2009",GSW,102,NOH,108
"Wed, Dec 23, 2009",HOU,87,ORL,102
"Wed, Dec 23, 2009",OKC,117,PHX,113
"Wed, Dec 23, 2009",CLE,117,SAC,104
